etat/VT,debut,fin,id,;,entier,reel,chaine,<-,lire,afficher,(,),si,alors,sinon,finsi,tantque,faire,fintq,ID,Vrai,Faux,+,-,*,/,<,>,=,et,ou,$,P,LD,D,T,LI,I,A,L,EC,C,B,EX,BOOL,OP,OPARTH,OPLOG
30,err,err,err,r17,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
31,err,err,err,err,err,err,s38,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
32,err,err,s36,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s37,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,39,err,err,err,err
33,err,err,s36,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s37,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,40,err,err,err,err
34,err,r9,err,err,err,err,err,err,err,err,err,err,err,err,r9,r9,err,err,r9,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
35,err,err,err,r15,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
36,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s44,s45,s46,s47,s48,s49,s50,s51,s52,err,err,err,err,err,err,err,err,err,err,err,err,err,err,41,42,43
37,err,err,err,r23,err,err,err,err,err,err,err,r23,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
38,err,err,err,err,err,err,err,err,err,err,err,s53,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
39,err,err,err,err,err,err,err,err,err,err,err,s54,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
40,err,err,err,err,err,err,err,err,err,err,err,s55,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
41,err,err,s56,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
42,err,err,r26,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
43,err,err,r27,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
44,err,err,r28,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
45,err,err,r29,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
46,err,err,r30,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
47,err,err,r31,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
48,err,err,r32,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
49,err,err,r33,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
50,err,err,r34,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
51,err,err,r35,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
52,err,err,r36,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
53,err,err,err,r18,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
54,err,err,err,err,err,err,err,err,err,err,err,err,err,s57,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
55,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s58,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
56,err,err,err,r22,err,err,err,err,err,err,err,r22,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
57,err,err,s20,err,err,err,err,err,s21,s22,err,err,s23,err,err,err,s24,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,59,14,15,16,17,18,19,err,err,err,err,err
58,err,err,s20,err,err,err,err,err,s21,s22,err,err,s23,err,err,err,s24,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,60,14,15,16,17,18,19,err,err,err,err,err
59,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s61,s62,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
60,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s63,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
61,err,err,s20,err,err,err,err,err,s21,s22,err,err,s23,err,err,err,s24,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,64,14,15,16,17,18,19,err,err,err,err,err
62,err,err,err,r20,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
63,err,err,err,r21,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
64,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s65,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
65,err,err,err,r19,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
